Year,Pesticide Type,Usage
1991,Fungicides and Bactericides,20.78
1992,Fungicides and Bactericides,20.78
1993,Fungicides and Bactericides,20.78
1994,Fungicides and Bactericides,20.78
1995,Fungicides and Bactericides,20.78
1996,Fungicides and Bactericides,20.78
1997,Fungicides and Bactericides,20.78
1998,Fungicides and Bactericides,20.78
1999,Fungicides and Bactericides,19.09
2000,Fungicides and Bactericides,18.68
2001,Fungicides and Bactericides,19.54
2002,Fungicides and Bactericides,23.37
2003,Fungicides and Bactericides,27.19
2004,Fungicides and Bactericides,31.02
2005,Fungicides and Bactericides,29.47
2006,Fungicides and Bactericides,24.93
2007,Fungicides and Bactericides,20.95
2008,Fungicides and Bactericides,22.9
2009,Fungicides and Bactericides,26.05
2010,Fungicides and Bactericides,23.9
2011,Fungicides and Bactericides,62.02
2012,Fungicides and Bactericides,66.81
2013,Fungicides and Bactericides,67.38
2014,Fungicides and Bactericides,13.87
2015,Fungicides and Bactericides,9.04
2016,Fungicides and Bactericides,6.58
2017,Fungicides and Bactericides,6.87
2018,Fungicides and Bactericides,9.29
2019,Fungicides and Bactericides,11.96
2020,Fungicides and Bactericides,15.1
2021,Fungicides and Bactericides,15.91
2022,Fungicides and Bactericides,16.18
1990,Fungicides and Bactericides,4799.0
1991,Fungicides and Bactericides,4799.0
1992,Fungicides and Bactericides,4799.0
1993,Fungicides and Bactericides,4799.0
1994,Fungicides and Bactericides,5641.0
1995,Fungicides and Bactericides,6297.0
1996,Fungicides and Bactericides,6107.0
1997,Fungicides and Bactericides,9064.0
1998,Fungicides and Bactericides,6041.0
1999,Fungicides and Bactericides,5510.15
2000,Fungicides and Bactericides,4979.29
2001,Fungicides and Bactericides,4448.44
2002,Fungicides and Bactericides,3917.59
2003,Fungicides and Bactericides,3386.73
2004,Fungicides and Bactericides,2855.88
2005,Fungicides and Bactericides,2325.03
2006,Fungicides and Bactericides,1794.17
2007,Fungicides and Bactericides,2486.47
2008,Fungicides and Bactericides,2661.32
2009,Fungicides and Bactericides,1984.76
2010,Fungicides and Bactericides,3730.56
2011,Fungicides and Bactericides,3852.63
2012,Fungicides and Bactericides,3886.99
2013,Fungicides and Bactericides,3921.34
2014,Fungicides and Bactericides,3955.7
2015,Fungicides and Bactericides,4036.47
2016,Fungicides and Bactericides,4117.23
2017,Fungicides and Bactericides,4198.0
2018,Fungicides and Bactericides,3427.0
2019,Fungicides and Bactericides,3596.0
2020,Fungicides and Bactericides,4667.54
2021,Fungicides and Bactericides,3756.51
2022,Fungicides and Bactericides,4404.34
1992,Fungicides and Bactericides,1.0
1993,Fungicides and Bactericides,1.0
1994,Fungicides and Bactericides,2.0
1995,Fungicides and Bactericides,2.9
1996,Fungicides and Bactericides,5.0
1997,Fungicides and Bactericides,13.32
1998,Fungicides and Bactericides,21.65
1999,Fungicides and Bactericides,29.97
2000,Fungicides and Bactericides,38.3
2001,Fungicides and Bactericides,46.62
2002,Fungicides and Bactericides,54.95
2003,Fungicides and Bactericides,63.27
2004,Fungicides and Bactericides,145.34
2005,Fungicides and Bactericides,121.61
2006,Fungicides and Bactericides,137.29
2007,Fungicides and Bactericides,140.21
2008,Fungicides and Bactericides,92.96
2009,Fungicides and Bactericides,102.43
2010,Fungicides and Bactericides,136.8
2011,Fungicides and Bactericides,157.65
2012,Fungicides and Bactericides,178.5
2013,Fungicides and Bactericides,199.36
2014,Fungicides and Bactericides,220.21
2015,Fungicides and Bactericides,241.06
2016,Fungicides and Bactericides,261.91
2017,Fungicides and Bactericides,282.76
2018,Fungicides and Bactericides,303.61
2019,Fungicides and Bactericides,189.61
2020,Fungicides and Bactericides,352.53
2021,Fungicides and Bactericides,504.14
2022,Fungicides and Bactericides,491.89
1990,Fungicides and Bactericides,18.28
1991,Fungicides and Bactericides,19.29
1992,Fungicides and Bactericides,21.09
1993,Fungicides and Bactericides,23.73
1994,Fungicides and Bactericides,25.81
1995,Fungicides and Bactericides,27.97
1996,Fungicides and Bactericides,30.81
1997,Fungicides and Bactericides,34.66
1998,Fungicides and Bactericides,39.04
1999,Fungicides and Bactericides,41.94
2000,Fungicides and Bactericides,43.21
2001,Fungicides and Bactericides,42.83
2002,Fungicides and Bactericides,43.77
2003,Fungicides and Bactericides,47.01
2004,Fungicides and Bactericides,51.68
2005,Fungicides and Bactericides,55.27
2006,Fungicides and Bactericides,56.92
2007,Fungicides and Bactericides,59.27
2008,Fungicides and Bactericides,63.85
2009,Fungicides and Bactericides,70.69
2010,Fungicides and Bactericides,75.43
2011,Fungicides and Bactericides,69.78
2012,Fungicides and Bactericides,62.11
2013,Fungicides and Bactericides,54.25
2014,Fungicides and Bactericides,52.92
2015,Fungicides and Bactericides,63.18
2016,Fungicides and Bactericides,66.1
2017,Fungicides and Bactericides,69.26
2018,Fungicides and Bactericides,59.53
2019,Fungicides and Bactericides,63.79
2020,Fungicides and Bactericides,73.15
2021,Fungicides and Bactericides,78.93
2022,Fungicides and Bactericides,81.42
1990,Fungicides and Bactericides,1280.22
1991,Fungicides and Bactericides,1280.22
1992,Fungicides and Bactericides,1593.26
1993,Fungicides and Bactericides,1712.45
1994,Fungicides and Bactericides,1508.8
1995,Fungicides and Bactericides,1834.21
1996,Fungicides and Bactericides,2054.79
1997,Fungicides and Bactericides,2219.18
1998,Fungicides and Bactericides,2527.4
