Country,Year,Element,Total,Continent,alpha-3,Percentage
Nepal,2020,Import quantity,25.0,Asia,NPL,0.03093102381688834
New Caledonia,2020,Import quantity,14.0,Oceania,NCL,0.01732137333745747
New Zealand,2020,Import quantity,29.0,Oceania,NZL,0.035879987627590475
Nicaragua,2020,Import quantity,4.0,Americas,NIC,0.0049489638107021346
Niger,2020,Import quantity,40.0,Africa,NER,0.049489638107021346
Niue,2020,Import quantity,0.0,Oceania,NIU,0.0
North Macedonia,2020,Import quantity,35.0,Europe,MKD,0.04330343334364367
Norway,2020,Import quantity,12.0,Europe,NOR,0.014846891432106402
Oman,2020,Import quantity,3.0,Asia,OMN,0.0037117228580266005
Pakistan,2020,Import quantity,166.0,Asia,PAK,0.20538199814413857
Panama,2020,Import quantity,1.0,Americas,PAN,0.0012372409526755336
Papua New Guinea,2020,Import quantity,10.0,Oceania,PNG,0.012372409526755336
Paraguay,2020,Import quantity,1324.0,Americas,PRY,1.6381070213424065
Peru,2020,Import quantity,230.0,Americas,PER,0.28456541911537275
Philippines,2020,Import quantity,3159.0,Asia,PHL,3.908444169502011
Poland,2020,Import quantity,1351.0,Europe,POL,1.6715125270646458
Portugal,2020,Import quantity,541.0,Europe,PRT,0.6693473553974636
Qatar,2020,Import quantity,35.0,Asia,QAT,0.04330343334364367
Romania,2020,Import quantity,767.0,Europe,ROU,0.9489638107021343
Russian Federation,2020,Import quantity,1641.0,Europe,RUS,2.0303124033405506
Saint Lucia,2020,Import quantity,11.0,Americas,LCA,0.01360965047943087
Saint Vincent and the Grenadines,2020,Import quantity,1.0,Americas,VCT,0.0012372409526755336
Samoa,2020,Import quantity,0.0,Oceania,WSM,0.0
Saudi Arabia,2020,Import quantity,138.0,Asia,SAU,0.17073925146922364
Serbia,2020,Import quantity,9.0,Europe,SRB,0.011135168574079802
Singapore,2020,Import quantity,3.0,Asia,SGP,0.0037117228580266005
Sint Maarten (Dutch part),2020,Import quantity,18.0,Americas,SXM,0.022270337148159604
Slovakia,2020,Import quantity,83.0,Europe,SVK,0.10269099907206929
Slovenia,2020,Import quantity,52.0,Europe,SVN,0.06433652953912775
Solomon Islands,2020,Import quantity,12.0,Oceania,SLB,0.014846891432106402
South Sudan,2020,Import quantity,1.0,Africa,SSD,0.0012372409526755336
Spain,2020,Import quantity,1665.0,Europe,ESP,2.0600061862047636
Sri Lanka,2020,Import quantity,4.0,Asia,LKA,0.0049489638107021346
Sweden,2020,Import quantity,220.0,Europe,SWE,0.2721930095886174
Switzerland,2020,Import quantity,61.0,Europe,CHE,0.07547169811320754
Syrian Arab Republic,2020,Import quantity,11.0,Asia,SYR,0.01360965047943087
Thailand,2020,Import quantity,826.0,Asia,THA,1.0219610269099908
Timor-Leste,2020,Import quantity,19.0,Asia,TLS,0.023507578100835137
Tonga,2020,Import quantity,15.0,Oceania,TON,0.018558614290133005
Trinidad and Tobago,2020,Import quantity,109.0,Americas,TTO,0.13485926384163316
Turkmenistan,2020,Import quantity,18.0,Asia,TKM,0.022270337148159604
Turks and Caicos Islands,2020,Import quantity,1.0,Americas,TCA,0.0012372409526755336
Tuvalu,2020,Import quantity,0.0,Oceania,TUV,0.0
Türkiye,2020,Import quantity,32.0,Asia,TUR,0.039591710485617077
Uganda,2020,Import quantity,121.0,Africa,UGA,0.14970615527373957
Ukraine,2020,Import quantity,2894.0,Europe,UKR,3.580575317042994
United Arab Emirates,2020,Import quantity,309.0,Asia,ARE,0.3823074543767399
United Kingdom of Great Britain and Northern Ireland,2020,Import quantity,893.0,Europe,GBR,1.1048561707392515
United States of America,2020,Import quantity,169.0,Americas,USA,0.20909372100216517
Uruguay,2020,Import quantity,43.0,Americas,URY,0.05320136096504794
Uzbekistan,2020,Import quantity,60.0,Asia,UZB,0.07423445716053202
Vanuatu,2020,Import quantity,25.0,Oceania,VUT,0.03093102381688834
Viet Nam,2020,Import quantity,144.0,Asia,VNM,0.17816269718527683
Zambia,2020,Import quantity,0.0,Africa,ZMB,0.0
Zimbabwe,2020,Import quantity,4.0,Africa,ZWE,0.0049489638107021346
