Area,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium-Luxembourg,9074.210000000001,9074.210000000001,9074.210000000001,9074.210000000001,8449.91,9007.08,8742.92,8306.6,9095.89,8829.62,,,,,,,,,,,,,,,,,,,,,,,
Belize,771.0,696.0,997.0,1057.8300000000002,1118.6699999999998,1179.5,1240.3300000000002,1301.1699999999998,1362.0,1362.0,1296.0,1719.0,1529.27,1339.54,1149.81,960.0799999999999,770.35,674.46,984.0300000000001,788.61,700.39,826.5799999999999,638.28,1036.68,880.1,1067.18,1258.98,1217.1299999999999,1384.3100000000002,1062.59,1334.69,1123.04,1331.0
Benin,1378.1299999999999,1378.14,1333.52,1183.56,1598.5,1712.26,1635.1699999999998,933.06,1019.3100000000001,1032.68,1014.81,748.58,777.25,766.28,619.5400000000001,582.98,895.21,1610.01,1948.96,2259.93,2092.92,2080.62,1691.81,1422.58,1452.1399999999999,1525.17,1583.06,2690.89,4342.21,5678.8,5624.5,5048.59,4760.64
Bermuda,20.560000000000002,20.560000000000002,20.560000000000002,39.66,77.85,109.34,108.59,89.28,77.22,78.83,80.45,82.05,83.68,85.3,86.91,62.71,43.09,45.73,79.08,90.19,80.23,81.09,113.74,151.91,180.63,207.22,179.19,153.63,117.59,135.35,150.32999999999998,146.61,144.77
Bhutan,4.02,4.55,4.54,3.41,24.51,29.240000000000002,32.37,2.0100000000000002,2.34,2.44,3.23,2.5500000000000003,1.87,5.16,6.65,2.1,5.93,7.05,5.8100000000000005,5.68,6.56,9.07,7.44,5.39,3.37,10.81,18.3,152.02,174.23,180.08999999999997,159.82999999999998,173.87,180.75
Bolivia (Plurinational State of),2468.0299999999997,1690.8200000000002,941.0,1299.88,1652.86,2005.8400000000001,2358.82,2711.79,3064.77,3417.75,3770.7499999999995,4123.73,4476.71,4829.69,6453.18,7145.93,7771.83,8426.91,8869.810000000001,10280.78,12969.35,13839.18,14403.05,17070.920000000002,16473.2,15962.1,16392.39,21654.9,21749.34,17909.76,19294.96,18306.98,19173.920000000002
Bosnia and Herzegovina,,,2276.81,2231.69,2213.13,2226.56,2201.19,2222.3,2158.88,2193.42,2193.39,2162.19,2184.52,2132.9300000000003,2163.83,2182.86,2161.42,2209.09,2197.49,2119.7599999999998,2135.12,2277.27,2267.3900000000003,2261.66,2276.56,2286.58,2369.33,2398.29,2454.3,2509.2200000000003,2723.4,2723.4,2723.4
Botswana,351.34999999999997,331.03,313.05,257.24,209.38,171.46,176.60999999999999,192.72,227.33,287.2,374.1,435.96000000000004,434.11,380.01000000000005,315.72,328.0,407.82000000000005,434.31,429.15999999999997,377.28,390.32,425.21,457.36,481.62,469.22999999999996,615.39,739.0799999999999,944.24,878.23,995.0100000000001,1193.0,1386.48,1483.2500000000002
Brazil,51119.89,58662.11,67357.56999999999,76053.01,84748.44,93443.92,102139.36,110834.81,119530.26000000001,128225.70999999999,141129.91,152270.63,146264.45,183340.47,215779.4,233366.94,239892.01,305530.24,314190.52,337391.09,360735.34,408787.31,456839.26,472977.14999999997,484254.38,497625.67,514828.94999999995,514843.0,549280.0,620538.0,685746.0,719507.0,800652.18
British Virgin Islands,13.69,12.49,13.72,11.82,13.52,12.06,13.2,12.540000000000001,92.93,95.27,98.14,22.23,21.32,17.5,13.17,11.559999999999999,10.95,12.03,12.65,20.14,14.34,130.06,123.78,127.76,11.299999999999999,13.19,17.57,17.29,11.049999999999999,7.61,10.97,16.91,16.91
Brunei Darussalam,120.32,132.63,139.82999999999998,171.09,197.87,237.60999999999999,261.03000000000003,260.42,245.64,216.71,197.69,182.68,173.76999999999998,282.15000000000003,337.72,338.5,215.14,139.32,120.85000000000001,142.16,158.79999999999998,174.79,168.45,176.17,186.37,172.01,146.95,142.26,157.03000000000003,216.06,286.01,288.69,290.03000000000003
Bulgaria,3906.0,3906.0,3906.0,3777.2499999999995,3648.5,3519.75,3391.0000000000005,3262.25,3133.5,3004.75,2876.0,2747.25,2618.5,2489.75,2361.0,2232.25,2103.5,1974.75,1846.0,1717.2500000000002,1588.5,1459.75,1331.0,1196.2600000000002,1002.03,1541.93,3759.1400000000003,3383.03,5044.05,6660.0,4225.97,4480.89,4422.6
Burkina Faso,513.9,513.9,513.88,513.89,513.9,498.52,661.12,913.75,1170.7,1023.48,750.45,558.5,762.4200000000001,1060.24,1386.94,1580.79,1808.8700000000001,1759.3500000000001,1528.0800000000002,1166.26,1042.53,1059.25,1254.5700000000002,1560.0,1781.4099999999999,2046.3899999999999,2646.16,2938.26,3123.4,2793.4500000000003,2848.95,3037.81,3132.2599999999998
Burundi,92.08,92.08,92.08,96.99,84.44999999999999,144.2,207.1,117.55999999999999,107.29,150.24,109.87,72.56,98.1,263.7,508.26,304.83,190.51,412.65999999999997,456.44,177.75,264.53,75.64,98.59,956.06,74.49,72.74,50.260000000000005,50.260000000000005,50.260000000000005,50.260000000000005,50.260000000000005,50.260000000000005,50.260000000000005
Cabo Verde,1.0,1.0,1.0,1.0,2.0,0.68,0.5,1.74,7.029999999999999,11.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Cambodia,480.54999999999995,480.55,480.54999999999995,480.55,480.54999999999995,480.55,480.55,480.54,480.54,480.55,444.75,427.68,412.46000000000004,420.87,404.5,443.99,532.64,732.64,773.9300000000001,938.78,1198.32,1672.98,2386.97,3287.85,4338.91,5091.41,4594.57,5330.55,7719.7,11862.53,15399.45,17390.38,18385.83
