Area,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Germany,31289.0,32006.0,29542.0,25170.0,26330.0,30090.0,31683.0,30414.0,33377.0,30019.0,35273.17,33423.49,34431.72,35539.26,34930.37,36386.270000000004,38540.15,40740.64,43413.01,39289.43,40832.42,44429.93,46204.25,43525.09,46078.29,47850.64,46889.39,48306.979999999996,44960.61,45180.98,47973.6,48712.17,48169.07
Ghana,65.8,65.8,65.8,65.8,65.8,65.8,1575.5,502.0,297.78,114.13,81.63,82.0,92.68,110.14,127.6,173.76,778.0500000000001,129.93,359.45000000000005,386.15000000000003,1389.22,2392.29,3395.37,4398.42,5401.49,8884.390000000001,9286.939999999999,9689.5,9689.5,9689.5,9689.5,9689.5,9689.5
Greece,7420.0,7420.0,7869.0,8826.0,6341.0,6663.0,7296.0,9223.0,10702.0,9635.0,10627.0,10725.0,12753.66,12356.32,13144.98,13958.64,7505.3,7345.7,5130.8,3404.4,5607.7,8189.8,8002.2,10859.67,3907.8399999999997,4179.7,4979.65,4852.34,4860.47,4867.47,4901.42,4711.81,3988.16
Greenland,3.32,3.25,4.0200000000000005,3.68,4.1899999999999995,4.61,5.029999999999999,5.47,5.890000000000001,4.95,3.26,3.7700000000000005,7.329999999999999,13.360000000000001,16.3,16.66,14.120000000000001,11.26,8.77,6.959999999999999,8.33,10.24,11.51,9.469999999999999,7.58,5.12,6.909999999999999,7.3999999999999995,9.53,8.610000000000001,8.62,8.6,8.61
Grenada,143.75,138.59,128.3,120.19,131.67,138.52,131.62,109.3,91.83999999999999,95.76,98.24,94.48,87.31,81.84,99.58,113.91,121.45,215.61,218.38000000000002,212.29,102.92999999999999,80.89,70.86,82.67,96.01,116.65,114.62,119.27,115.22,115.58,110.13999999999999,116.58999999999999,119.81
Guam,18.62,18.62,18.62,18.6,18.619999999999997,18.62,18.61,18.61,18.61,18.610000000000003,18.61,19.12,18.22,15.47,11.29,8.71,7.46,8.16,8.89,10.32,10.14,9.3,7.819999999999999,6.37,4.55,3.22,15.209999999999999,41.12,79.92,98.32,96.08999999999999,59.36,40.99
Guatemala,12004.33,12004.33,12004.33,12004.33,12004.33,12004.33,12004.33,11823.72,11643.09,11462.48,11281.84,11101.23,10920.6,10739.99,11959.92,13506.02,15951.269999999999,22883.17,18091.67,13276.7,14898.25,15727.810000000001,18862.3,19829.4,11438.92,10040.4,11444.490000000002,11302.119999999999,11841.69,11001.99,14242.060000000001,13227.51,14174.98
Guinea,80.0,80.0,80.0,21.0,39.0,153.0,157.33,179.78000000000003,202.24,224.69,247.16,269.61,292.07,314.52,336.96999999999997,359.43,381.9,404.35,426.80000000000007,449.26,556.25,663.2400000000001,770.2,877.19,687.79,425.88,163.96,206.3,108.5,110.5,110.5,110.5,110.5
Guinea-Bissau,32.0,38.0,4.0,25.0,21.0,17.0,13.01,9.0,5.01,1.0,41.5,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0
Haiti,181.28,157.55,99.75999999999999,95.44999999999999,135.92,178.6,251.23,267.95,396.40999999999997,359.33,371.90999999999997,310.11,392.05,457.46,454.97,434.32,475.68,517.24,748.14,733.38,1037.8700000000001,882.34,866.36,506.84000000000003,393.19000000000005,386.81,465.13,627.65,653.0799999999999,702.68,774.01,864.26,909.39
Holy See,1.73,1.73,1.72,1.71,1.73,1.72,1.73,1.72,1.74,1.74,1.72,1.72,1.73,1.73,1.73,1.73,1.74,1.73,1.7300000000000002,1.72,1.72,1.72,1.72,1.72,1.72,1.73,1.73,1.72,1.73,1.73,1.72,1.73,1.73
Honduras,4576.61,3368.28,5965.38,6768.0,5455.360000000001,7800.0,6464.0,6980.0,3495.0,2387.0,4376.0,1141.0,1772.2900000000002,2403.61,3034.9,3666.22,4297.51,5283.93,5130.42,4344.36,5736.63,6191.45,7194.910000000001,7282.370000000001,7604.05,8113.490000000001,7529.130000000001,8153.2300000000005,8782.6,8214.380000000001,11721.51,10533.17,10533.17
Hungary,12756.0,8069.0,5777.0,10197.0,9574.0,7715.0,6946.0,4445.0,5280.0,4598.0,4151.0,5458.0,8231.5,8725.5,9940.5,9676.0,11523.0,11178.0,12084.0,11144.0,10299.5,8473.26,8141.23,7766.89,8999.08,9482.42,9763.85,9756.220000000001,8537.06,7816.969999999999,8681.09,8860.1,8580.15
Iceland,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,4.180000000000001,4.739999999999999,4.0,4.0,6.0,5.0,5.0,5.34,5.7299999999999995,4.37,2.7300000000000004,3.43,3.14,2.41,3.88,4.51,3.4,2.4899999999999998,2.38,0.98,0.66,1.35,2.35
India,75000.0,72133.0,70791.0,66074.0,61357.0,61257.0,56114.0,52279.0,49157.0,46195.0,44957.520000000004,43720.04,42482.56,41245.08,35113.0,35342.0,37423.0,27422.77,14485.33,28707.01,40093.69,40093.69,40093.69,40093.69,40093.69,40093.69,40093.69,40093.69,40093.69,40093.69,40093.69,40093.69,40093.69
Indonesia,113120.56,115478.84999999999,124362.20999999999,126756.02,127382.88,137901.08000000002,141286.54,135253.98,136116.04,137639.96,142709.22,146060.62,154432.41,164929.33,173325.52,178526.94,185738.22,221902.86000000002,258851.68,260714.84000000003,313639.25,206061.71000000002,254912.71000000002,314990.39999999997,253450.88,313069.12,349797.63,279005.69,261305.80000000002,274421.04000000004,213036.32,283297.12000000005,294670.37000000005
Iran (Islamic Republic of),10644.0,16349.0,11683.0,9572.0,10324.0,8746.0,5332.0,6347.88,7363.74,8379.630000000001,9395.48,9007.8,9592.16,10129.47,10015.310000000001,7807.64,8253.48,5922.87,3016.8900000000003,4049.54,4381.59,4713.64,7051.91,6494.23,6590.61,6686.99,6783.35,6871.719999999999,5744.42,4977.43,5855.93,5855.93,5855.93
Iraq,692.0,692.0,692.0,692.0,692.0,816.0,616.0,848.0,755.0,508.0,548.0,837.47,878.68,853.64,828.62,873.01,824.14,1062.61,956.52,850.43,744.3399999999999,638.23,532.15,426.05,396.01,196.75,151.47,214.78,283.99,297.34999999999997,310.71999999999997,324.07,324.07
Ireland,2014.0,2014.0,2014.0,2014.0,2014.0,2152.0,1577.0,2201.0,2257.0,1930.0,1942.21,2333.67,2614.27,2719.41,2978.49,2624.89,2766.64,3083.02,2790.17,2268.1,2529.2,3713.7500000000005,2801.77,2913.0,3353.1400000000003,3503.6200000000003,3112.5299999999997,2942.0,2651.36,2971.76,2909.8099999999995,3090.95,2715.83
Israel,2491.0,2491.0,2491.0,2491.0,2491.0,2491.0,2491.0,2491.0,2491.0,2975.02,3459.04,3943.06,4427.07,4911.099999999999,5395.110000000001,5879.13,6363.14,6847.17,7331.179999999999,6650.0,6753.0,6124.0,6009.0,6005.0,6335.0,6367.0,6093.0,6881.0,7322.0,6983.0,6983.0,6983.0,6983.0
Italy,100596.4,88916.6,88227.6,89282.2,81217.6,84153.0,74617.2,84799.0,84117.0,81583.0,79447.0,75978.0,94211.0,86058.0,83810.0,84647.0,74349.0,80454.0,79643.0,74172.0,71613.0,70690.0,61889.0,55455.01,59235.41,63084.979999999996,59981.880000000005,56825.02,54492.53,48965.28,56924.59,50196.31,44443.42
Jamaica,1217.44,1217.44,1217.44,1217.44,1217.44,1258.99,1316.1100000000001,620.7,1094.84,1332.93,1379.22,1491.75,1372.63,1440.5,1355.1100000000001,1373.22,1243.58,1288.6200000000001,1286.84,1252.0900000000001,1034.18,1108.54,1278.96,1218.47,1138.79,1051.13,1409.1399999999999,1560.6299999999999,1530.51,1500.4,1853.15,1641.6,1641.6
Japan,79821.18000000001,79821.18000000001,79821.18000000001,79821.18000000001,79821.18000000001,79821.18000000001,79821.18000000001,79821.18000000001,79821.18000000001,79821.18000000001,79821.18000000001,78735.45,70262.54,67869.72,64688.88,63829.770000000004,65248.26,61164.07,58750.00000000001,60970.8,55576.0,51796.299999999996,54716.4,52794.299999999996,53543.7,54171.159999999996,51006.0,52248.0,52332.0,51970.0,48889.0,48783.0,50320.0
Jordan,734.0,926.0,1365.0,786.0,773.5,761.0,910.0,875.0,845.0,525.0,553.0,1527.53,1567.8999999999999,1320.9099999999999,737.06,1736.5,1142.43,1351.11,1265.7,1089.5,932.8,1111.9,708.0,1010.0,719.0,666.0,1028.0,1291.4,675.0,662.0,462.25,401.34000000000003,522.01
Kazakhstan,,,17182.0,17182.0,17182.0,13535.0,13047.0,8112.0,6416.139999999999,4720.28,3024.4199999999996,3007.26,3361.84,3606.55,3802.9200000000005,3666.6199999999994,3926.27,5575.889999999999,7044.9,8716.140000000001,6283.85,10656.599999999999,8674.58,8738.380000000001,11158.77,10588.9,10372.100000000002,13811.099999999999,13058.0,13102.4,14492.01,18323.6,8810.6
Kenya,443.57,998.23,1353.73,1432.44,3627.87,3728.01,3964.68,1801.23,2052.83,2124.0099999999998,1979.45,1841.3999999999999,1665.3999999999999,1716.16,1802.0,2085.04,2192.58,1918.85,2157.5299999999997,2181.51,2757.77,3143.66,3970.66,4476.32,4660.69,4764.25,4773.06,5293.41,6073.59,6587.2,6227.900000000001,5464.51,5082.79
Kiribati,2.6,2.59,2.66,2.85,9.69,10.3,10.78,4.3100000000000005,3.7699999999999996,3.8,4.05,4.45,4.86,5.26,6.87,7.120000000000001,8.33,7.78,8.55,9.69,9.77,10.31,10.65,15.729999999999999,20.439999999999998,23.720000000000002,21.52,18.99,20.580000000000002,25.229999999999997,30.9,32.589999999999996,33.45
Kuwait,196.65,278.54,338.59000000000003,499.93,826.27,1117.28,1209.27,1029.18,929.8299999999999,778.46,689.75,813.0,1115.14,1272.6599999999999,1201.18,1137.37,1276.4099999999999,1358.8899999999999,1305.43,1126.95,1222.75,1536.94,1969.4299999999998,2262.9700000000003,2384.54,2034.19,1449.6999999999998,1030.47,1110.0,1341.31,1493.36,1410.98,1369.82
Kyrgyzstan,,,2418.0,2200.86,1983.73,1766.6,1549.45,1332.31,1115.17,898.0500000000001,680.9000000000001,609.6,733.2,1302.6,1321.3,1081.1,796.0,1026.2,662.8000000000001,266.79999999999995,350.1,312.9,365.1,341.1,402.6,516.0,533.0,560.0,608.0,677.3,692.6,608.0,578.1999999999999
Lao People's Democratic Republic,21.0,21.0,21.0,46.0,35.59,25.200000000000003,14.79,4.38,0.66,0.97,1.2799999999999998,1.7899999999999998,2.3,2.82,3.31,3.82,4.33,0.44,0.07,25.67,1.8299999999999998,43.8,43.53,125.88999999999999,3.0,50.379999999999995,97.74,145.11,187.31,187.31,187.31,187.31,187.31
Latvia,,,1005.0,476.0,294.0,358.0,361.0,334.0,369.0,326.86,284.72,367.4,335.31,477.63,594.46,723.54,743.5699999999999,1113.49,1033.0,881.2,1027.5,1074.0,1281.04,1250.5,1422.55,1510.13,1724.63,1478.4299999999998,1586.99,1650.67,1900.41,1984.44,1817.27
Lebanon,1221.0,1221.0,1221.0,1221.0,1221.0,1221.0,1221.0,1816.0,1816.0,1816.0,1816.0,1816.0,1816.0,1816.0,1816.0,1816.0,1816.0,1816.0,1816.0,1816.0,1816.0,1816.0,1816.0,1816.0,1816.0,1816.0,1816.0,1816.0,1816.0,1816.0,1816.0,1816.0,1816.0
Lesotho,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.46,4.57,2.7800000000000002,6.66,8.92,29.03,26.740000000000002,29.049999999999997,14.56,20.09,22.21,19.13,13.889999999999999,7.15,14.38,15.120000000000001,22.310000000000002,16.830000000000002,54.870000000000005,74.67999999999999,83.52000000000001,67.36,113.36,221.62,239.53,248.48000000000002
Liberia,140.54,139.81,138.32,136.83,135.35,129.13,122.63,110.31,96.91,78.7,67.91,63.199999999999996,63.699999999999996,84.03,112.57,175.27999999999997,297.8,382.14,424.72,422.04,493.30999999999995,578.61,658.96,732.24,793.9300000000001,648.86,661.24,685.53,895.86,938.44,1001.0300000000001,1019.12,1028.15
Libya,2612.1600000000003,2486.16,2234.1099999999997,2181.75,2129.33,2076.92,2024.5,1555.56,1107.31,681.57,693.3299999999999,864.8399999999999,1194.29,2388.58,3125.75,3405.81,2523.38,1987.5900000000001,2089.98,2264.6,2312.49,1942.03,1719.24,1496.43,1273.63,1050.83,842.6,754.82,1052.6,1410.08,1721.37,1721.37,1721.37
Lithuania,,,1380.0,936.0,713.0,737.0,979.0,928.0,812.0,695.0,688.06,726.09,792.6000000000001,847.2,1023.6,1048.5,1197.0,2722.82,2722.55,2748.7999999999997,1803.77,2062.3399999999997,2559.9,2513.12,2545.59,2741.0299999999997,3336.15,2993.47,2048.59,2317.6,2558.76,2587.98,3578.54
Luxembourg,,,,,,,,,,,154.24,154.24,154.24,154.24,154.24,154.24,154.24,154.24,154.24,154.24,154.24,154.24,203.16,157.01,143.69,137.6,159.93,139.51,139.62,133.03,138.93,122.71,121.86
Madagascar,128.41,131.0,101.06,109.41000000000001,76.15,73.08,152.01,139.89,88.26,49.52,130.46,87.59,240.84,146.76,68.00999999999999,114.51,109.39,93.88,112.11,143.9,241.89,310.35999999999996,377.71,507.94,453.91,401.39,493.53999999999996,642.78,705.85,746.0500000000001,765.8299999999999,701.11,834.2
Malawi,171.79,171.79,171.79,171.79,171.79,171.79,171.79,171.79,136.10999999999999,125.38,210.45000000000002,169.91,129.35,88.82,48.28,295.51,202.35,524.46,624.52,736.25,584.12,553.57,775.8299999999999,1500.27,2358.0099999999998,2218.22,2078.4300000000003,1938.63,1798.84,1659.0400000000002,1519.26,1420.24,2035.7399999999998
Malaysia,23818.21,23887.53,24701.079999999998,26701.610000000004,26776.039999999997,27591.5,28062.829999999998,28601.08,27143.54,29260.609999999997,30205.56,30978.86,31620.89,34047.02,36017.340000000004,37579.43,39407.94,46869.82000000001,54823.37,52465.65,60196.29,41563.63,49810.479999999996,61445.59,49199.44,63307.64000000001,67329.5,50762.5,44114.0,47805.0,36076.89000000001,45671.0,25608.620000000003
Maldives,38.03,38.03,38.03,38.03,38.04,38.559999999999995,41.150000000000006,93.83999999999999,98.30999999999999,125.07,74.43,76.96000000000001,54.81000000000001,59.72,60.48,114.43,127.39999999999999,124.91,69.27,62.78,75.25999999999999,84.32000000000001,83.82000000000001,94.35,110.82,127.82999999999998,571.89,628.16,755.33,395.32,376.46000000000004,372.05,369.83
Mali,253.7,147.68,98.08,92.33,86.57,80.82,75.06,69.31,63.550000000000004,57.800000000000004,52.04,46.29,40.53,34.78,29.02,23.27,17.33,12.31,19.04,8.440000000000001,8.09,6.83,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75
Malta,326.48,326.48,326.48,326.48,447.26,210.33999999999997,154.0,258.38,260.8,138.79000000000002,181.92000000000002,111.77000000000001,113.25,114.74000000000001,116.21000000000001,117.67999999999999,119.17,120.65,117.17,113.67999999999999,110.19,106.7,137.88,134.93,110.12,128.72,89.67999999999999,107.58,90.06,75.6,95.83,70.76,70.01
Mauritania,71.25,71.25,61.32,45.83,24.74,17.03,15.59,20.4,22.46,24.509999999999998,26.59,24.519999999999996,24.32,50.230000000000004,56.010000000000005,54.45,33.47,39.33,46.199999999999996,46.58,61.65,76.32,161.91,236.29999999999998,290.72999999999996,288.3,293.90999999999997,333.76,381.09,393.89,376.88,420.97999999999996,443.04
Mauritius,889.0,817.3,745.6,673.89,602.19,663.88,625.89,710.24,640.7800000000001,616.9,643.6700000000001,723.23,770.35,858.67,815.02,844.8499999999999,897.02,778.98,875.11,894.07,916.52,887.38,810.11,857.41,843.62,907.29,917.04,844.26,771.49,754.73,708.5500000000001,705.3000000000001,867.77
Mayotte,29.12,29.13,29.11,29.13,29.12,29.130000000000003,29.12,29.13,29.109999999999996,29.12,33.31,46.39,52.9,55.39,51.04,69.97,70.98,69.98,52.29,52.28,52.29,52.29,52.29,52.3,52.3,52.29,52.300000000000004,52.29,52.29,52.29,52.27,52.28,52.29
Mexico,26624.98,26624.98,26624.98,26624.98,26624.98,26624.98,26624.98,26624.98,26624.98,26624.98,26624.98,23371.7,11535.82,16285.16,18507.68,39171.9,38402.66,50894.34,50154.53,50327.9,52305.13,53219.63,49213.67,47551.149999999994,43028.74,48292.99,47421.33,50801.94,53144.44,19871.11,19250.44,19767.32,19613.510000000002
Micronesia (Federated States of),,19.740000000000002,19.74,19.75,19.75,19.74,19.740000000000002,19.73,19.74,19.740000000000002,19.740000000000002,19.73,19.73,18.82,17.310000000000002,16.57,15.659999999999998,15.54,13.129999999999999,11.92,11.32,13.239999999999998,13.81,13.549999999999999,12.270000000000001,12.25,12.259999999999998,12.26,12.260000000000002,12.26,12.27,12.27,12.27
Mongolia,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,615.61,1115.5200000000002,1615.4299999999998,2115.34,2615.25,3115.1600000000003,3615.07,4114.98,4614.89,5114.8,5114.8
Montenegro,,,,,,,,,,,,,,,,,0.67,0.67,0.67,0.67,66.12,75.12,71.12,82.12,90.12,76.12,90.12,98.89,92.51,102.07000000000001,118.58,110.81,94.1
Montserrat,14.92,14.91,14.93,14.91,14.920000000000002,14.93,14.93,14.93,14.91,13.9,13.82,12.38,13.600000000000001,14.010000000000002,15.8,15.4,15.48,17.349999999999998,20.98,22.279999999999998,20.1,17.41,16.53,17.0,18.02,18.11,18.0,18.0,17.38,17.89,17.66,17.29,17.11
Morocco,9364.0,9771.15,10178.28,10585.43,10992.57,11399.72,11806.85,12214.0,12621.15,13028.28,13435.43,13842.57,14249.720000000001,14656.849999999999,15064.0,13966.0,13697.0,13697.0,13697.0,13697.0,13697.0,13697.0,13697.0,13697.0,13697.0,13697.0,13697.0,13697.0,13697.0,13697.0,13697.0,13697.0,13697.0
Mozambique,102.26,102.26,102.26,102.26,102.26,72.19,65.85,60.629999999999995,86.62,112.61999999999999,138.62,164.63,190.62,216.61,242.61,268.61,294.59999999999997,320.59000000000003,346.61,372.6,398.6,424.59,450.6,476.59,502.59999999999997,528.58,554.5799999999999,580.59,1154.8500000000001,1729.1100000000001,2215.55,2932.5699999999997,3048.16
Myanmar,209.08,114.0,151.18,160.33,190.0,264.76,137.23999999999998,145.54,282.87,420.21999999999997,557.55,694.89,949.06,858.9399999999999,1042.39,1448.85,3872.16,3329.6699999999996,2210.36,1091.08,3340.09,4642.42,3044.78,2898.2,5417.8,7690.63,12092.0,17274.0,15326.0,17337.49,11748.9,11748.9,11748.9
Namibia,573.54,573.54,573.55,573.54,573.55,573.54,573.54,573.54,573.54,573.54,1322.16,1346.48,1258.85,398.58000000000004,284.18,354.68,405.21000000000004,475.21,577.63,598.35,656.75,576.76,617.66,777.84,823.84,931.1200000000001,804.1600000000001,861.24,835.82,909.63,1009.6800000000001,1163.02,1239.7
Nauru,22.65,17.82,18.599999999999998,9.11,7.83,5.28,3.38,2.63,2.59,3.6799999999999997,4.56,7.909999999999999,6.94,5.9,1.5900000000000003,0.7300000000000001,0.22999999999999998,0.44999999999999996,0.58,0.53,0.34,0.42999999999999994,0.7600000000000001,1.8099999999999998,2.88,3.6,2.61,2.4699999999999998,3.99,5.8100000000000005,6.2299999999999995,6.85,7.169999999999999
Nepal,60.11,60.11,60.11,60.11,60.11,60.11,70.44,80.75,91.08,101.39999999999999,111.71,122.03,132.35999999999999,142.67,153.0,127.99,128.73000000000002,344.06,353.43,209.52,332.01,342.92,410.31999999999994,454.53,549.1700000000001,573.97,632.76,691.52,750.3100000000001,809.09,681.5,783.14,1175.49
Netherlands (Kingdom of the),9729.0,9338.0,9030.0,10505.0,8646.0,10213.0,8923.0,8812.0,10579.0,9682.0,11382.84,9424.73,9700.44,9550.039999999999,10655.4,10703.85,10461.35,12073.15,10777.08,9857.2,9586.03,12365.81,12763.71,10685.59,10618.56,9957.69,10764.57,10549.85,9366.130000000001,9199.84,9866.869999999999,9346.73,8732.21
Netherlands Antilles (former),185.06,190.78,198.04,206.8,211.35,215.87,220.42,224.97,229.52,234.07,238.6,243.16000000000003,247.69,256.90999999999997,270.81,266.87,248.92,231.77999999999997,231.0,238.02,238.02,,,,,,,,,,,,
New Caledonia,324.46,324.46,324.46,324.46,324.46,324.46,324.46,313.11,276.21999999999997,251.45,221.0,235.08,250.35,266.97,259.45000000000005,242.43999999999997,235.15,239.92,241.71999999999997,240.23,244.61,239.49,249.88,246.82999999999998,252.92,252.78,253.29,253.3,252.84,63.5,84.44999999999999,44.44,27.49
New Zealand,3740.0,3740.0,3740.0,3739.0,3515.0,3904.0,3499.0,3550.08,3055.16,2535.3,3634.3,3333.2,4369.2,4090.2,4249.2,4257.2,4587.2,5138.2,6056.2,5285.2,5285.2,5285.2,5285.2,5285.2,5285.2,5285.2,5285.2,5285.2,5285.2,5285.2,5285.2,5285.2,5285.2
Nicaragua,575.0,575.0,575.0,977.0,799.0,876.0,2041.7,3207.4,4373.1,4097.16,3925.63,3603.5,5475.55,5850.8,5299.06,9391.92,6889.26,9850.26,10173.91,9387.95,12242.19,4932.05,4413.82,6705.5,6826.97,7845.9,7682.29,7902.16,6993.71,7808.099999999999,15658.339999999998,13709.789999999999,12906.55
Niger,62.0,62.0,62.0,62.0,62.0,62.0,22.0,34.0,36.0,26.0,62.0,31.0,29.44,27.88,26.31,24.75,21.12,30.57,12.04,7.32,11.49,10.59,21.37,27.94,34.51,41.09,47.66,32.76,17.86,22.13,19.69,34.79,25.73
Nigeria,3445.23,2508.1,1717.51,948.79,1139.08,2160.96,4196.14,9991.77,9588.02,8071.44,3879.78,4716.88,7238.52,9498.880000000001,12797.75,15335.75,13557.33,9729.19,11510.93,18095.71,26872.78,31079.260000000002,33968.13,40668.25,36120.97,31255.22,26751.43,36466.57,47121.310000000005,53953.79,57268.93,57638.020000000004,57822.56
Niue,0.35000000000000003,0.37,0.29,0.3,0.7700000000000001,1.5700000000000003,2.12,2.14,1.8199999999999998,2.53,3.29,4.53,3.3899999999999997,4.7700000000000005,4.78,5.97,4.1899999999999995,3.48,7.63,6.73,6.470000000000001,0.9299999999999999,0.84,0.01,1.1,1.0899999999999999,1.94,1.74,2.4299999999999997,2.26,2.0100000000000002,2.4,2.6
Norfolk Island,0.9299999999999999,1.6700000000000002,1.7399999999999998,1.6,0.9199999999999999,1.09,1.97,2.78,2.9699999999999998,3.36,3.11,3.52,2.86,2.36,1.91,1.43,1.4,1.07,1.15,0.97,2.39,2.05,1.8599999999999999,0.54,1.2,1.6400000000000003,1.8099999999999998,1.6199999999999999,1.7899999999999998,1.7899999999999998,1.89,2.17,2.29
North Macedonia,,,970.0,659.0,540.0,573.0,556.0,507.0,529.0,412.5,296.0,175.0,240.0,210.0,262.0,149.0,327.0,119.0,85.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
Northern Mariana Islands,,2.1799999999999997,2.17,2.17,2.17,2.17,2.29,2.58,2.98,3.4099999999999997,3.8000000000000003,4.21,4.63,5.050000000000001,5.45,5.87,6.2700000000000005,6.68,7.1,7.51,7.91,8.33,8.73,9.129999999999999,9.549999999999999,9.959999999999999,10.38,10.79,11.200000000000001,11.6,12.02,8.16,6.249999999999999
Norway,1183.0,760.0,767.9,749.0,848.0,913.14,698.25,735.43,934.02,802.02,348.24,512.66,799.1899999999999,668.51,827.45,518.94,696.3399999999999,722.07,800.9,534.5600000000001,698.98,823.96,813.93,761.97,861.21,631.03,676.0,671.0,614.0,604.0,688.0,710.0,762.0
Oman,42.64,32.39,127.19,103.67,80.13000000000001,83.19,86.27000000000001,285.02,298.48,171.93,45.38,66.44,87.48,108.54,129.6,150.64,171.7,192.75,213.8,234.85,255.91,292.32,339.07,439.4,409.78999999999996,333.47,346.75,275.47999999999996,204.23000000000002,304.83,294.53999999999996,284.25,414.78999999999996
Pacific Islands Trust Territory,20.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,16479.0,16479.0,16479.0,16479.0,16479.0,16479.0,16479.0,16479.0,17619.0,19470.0,26702.0,26702.0,26702.0,26702.0,26702.0,26702.0,26702.0,26702.0,26702.0,26702.0,26702.0,26702.0,26702.0,26702.0,26702.0,26702.0,26702.0,26702.0,26702.0,26702.0,26702.0,26702.0,26702.0
Palau,,7.16,7.140000000000001,7.16,7.1499999999999995,7.15,7.14,7.15,7.15,7.140000000000001,7.14,7.15,7.14,7.14,7.14,7.140000000000001,7.140000000000001,6.260000000000001,5.49,4.3100000000000005,4.67,4.800000000000001,6.04,9.1,13.3,20.86,27.88,30.21,28.5,24.849999999999998,24.84,24.85,24.85
Palestine,1263.43,1263.43,1263.43,1263.43,1263.43,1263.43,1263.43,1263.43,1263.43,1263.43,1263.43,1263.43,1263.43,1238.77,1237.54,1243.31,1290.78,1265.83,1348.1399999999999,1348.1399999999999,1348.1399999999999,1348.1399999999999,1348.1399999999999,1348.1399999999999,1348.1399999999999,1348.1399999999999,1348.1399999999999,1348.1399999999999,1348.1399999999999,1348.1399999999999,1348.1399999999999,1348.1399999999999,1348.1399999999999
Panama,3308.5299999999997,3308.5299999999997,3308.5299999999997,3308.5299999999997,3308.5299999999997,3308.5299999999997,3308.5299999999997,3308.5299999999997,2008.07,1553.74,1099.42,2789.13,2141.62,2448.3900000000003,2590.5,2677.14,2632.87,2239.7999999999997,2142.93,2046.06,1949.19,1852.32,1371.35,2477.29,2458.7200000000003,2440.15,2421.57,2403.0,1637.5600000000002,872.11,774.55,979.9699999999999,1443.6299999999999
Papua New Guinea,800.54,784.2199999999999,759.21,733.4900000000001,711.9200000000001,686.84,613.56,492.11999999999995,364.83,279.88,235.46,219.6,261.4,311.21,352.21,355.22999999999996,371.77000000000004,388.28000000000003,404.81000000000006,421.34,437.87,590.74,743.71,896.8,913.62,930.4699999999999,947.31,964.1399999999999,980.98,1027.6799999999998,1104.23,1175.1599999999999,1210.63
Paraguay,3380.0,3380.0,3380.0,5806.8,8233.599999999999,10660.400000000001,13087.199999999999,15514.0,12196.0,5064.0,3507.0,10583.0,11752.99,12923.0,14092.98,15262.98,16432.969999999998,17602.97,18772.96,19942.960000000003,21112.94,22282.95,23452.94,24667.05,18070.43,18908.25,18567.0,19662.0,21184.74,22707.47,20262.66,25086.23,25086.23
Peru,1335.53,1335.53,1335.53,1335.53,1335.53,1335.53,1600.18,1850.33,1912.49,1809.42,2257.17,3001.29,2893.32,2848.56,3128.33,3577.61,4238.13,2928.27,5008.69,4719.14,6225.67,6030.6900000000005,7288.64,7091.56,8274.55,8893.460000000001,9482.89,10036.95,8617.57,10635.77,13479.9,11583.25,9981.31
Philippines,15154.3,15373.92,15508.13,15830.69,16237.529999999999,16758.95,16853.49,16846.95,16959.42,17472.83,17382.68,17509.77,17995.31,18330.63,18010.9,18303.98,18899.05,19403.54,20075.73,19975.78,21311.11,21179.53,21608.02,22374.12,22111.61,23250.65,21632.13,21491.3,21350.48,24878.97,34715.33,37660.37,37660.37
Pitcairn,7.03,7.04,7.02,7.02,7.029999999999999,5.89,3.61,1.31,0.4,0.5399999999999999,0.58,0.36,0.19,0.09,0.03,0.04,0.14,0.3,0.25,0.18,0.04,0.060000000000000005,0.13,0.15,0.19,0.16,0.24,0.35,0.27999999999999997,0.2,0.1,0.13,0.13
Poland,5422.0,5422.0,7363.0,8825.0,9330.0,7136.0,9824.0,9501.0,8699.0,8466.0,8848.0,8855.0,10358.0,7184.0,8726.0,16039.0,17101.0,18721.0,20611.02,18493.03,19449.02,21779.27,21885.989999999998,22192.100000000002,23550.91,23996.09,24452.67,25073.55,23156.559999999998,24255.23,24618.37,26511.670000000002,21857.62
